##                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
Identifier	Domain target name        accession   tlen query E-value                    Score   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
138	PtuA                      -            435 WP_040435342.1|WP_040435342.1 -            947   3.4e-07   26.3   0.0   4   4     0.022       2.1    4.0   0.0   238   287   831   869   783   892 0.86 -
139	LmuB_SMC_Cap4_nuclease_II -            611 WP_040435342.1|WP_040435342.1 -            947   1.2e-06   23.8   1.9   1   5   0.00022     0.021    9.8   0.0     8    40    11    47     9    53 0.72 -
140	LmuB_SMC_Cap4_nuclease_II -            611 WP_040435342.1|WP_040435342.1 -            947   1.2e-06   23.8   1.9   2   5      0.29        28   -0.5   0.0   333   398   126   204    83   235 0.60 -
141	LmuB_SMC_Cap4_nuclease_II -            611 WP_040435342.1|WP_040435342.1 -            947   1.2e-06   23.8   1.9   3   5      0.52        49   -1.4   0.0   544   586   519   556   439   567 0.75 -
142	LmuB_SMC_Cap4_nuclease_II -            611 WP_040435342.1|WP_040435342.1 -            947   1.2e-06   23.8   1.9   4   5    0.0072      0.69    4.8   0.1    19    44   634   659   619   670 0.76 -
143	LmuB_SMC_Cap4_nuclease_II -            611 WP_040435342.1|WP_040435342.1 -            947   1.2e-06   23.8   1.9   5   5     0.013       1.2    4.0   0.0   544   593   860   907   848   921 0.84 -
144	ATPase_TOPRIM_COG3593     -            592 WP_040435342.1|WP_040435342.1 -            947   3.2e-06   22.5   3.1   1   4     0.022       2.1    3.3   0.0    14    40    20    47    11    82 0.89 -
145	ATPase_TOPRIM_COG3593     -            592 WP_040435342.1|WP_040435342.1 -            947   3.2e-06   22.5   3.1   2   4     0.033       3.1    2.8   0.0   290   322   518   551   513   556 0.88 -
146	ATPase_TOPRIM_COG3593     -            592 WP_040435342.1|WP_040435342.1 -            947   3.2e-06   22.5   3.1   3   4     0.015       1.4    3.9   0.4    11    42   628   657   619   669 0.78 -
147	ATPase_TOPRIM_COG3593     -            592 WP_040435342.1|WP_040435342.1 -            947   3.2e-06   22.5   3.1   4   4   0.00031     0.029    9.5   0.0   249   322   824   892   778   907 0.70 -
148	ATPase_TypeIA             -            534 WP_040435342.1|WP_040435342.1 -            947    0.0013   13.7   0.8   1   3    0.0013      0.13    7.2   0.0    67    96    17    47     7    53 0.89 -
149	ATPase_TypeIA             -            534 WP_040435342.1|WP_040435342.1 -            947    0.0013   13.7   0.8   2   3     0.013       1.2    4.0   0.1    72   122   630   682   620   715 0.74 -
150	ATPase_TypeIA             -            534 WP_040435342.1|WP_040435342.1 -            947    0.0013   13.7   0.8   3   3      0.99        94   -2.3   0.0   316   366   803   852   777   869 0.71 -
151	JetC_I                    -           1113 WP_040435342.1|WP_040435342.1 -            947    0.0015   12.3   0.4   1   2    0.0012      0.11    6.1   0.0    20    47    20    47    11    53 0.79 -
152	JetC_I                    -           1113 WP_040435342.1|WP_040435342.1 -            947    0.0015   12.3   0.4   2   2    0.0053       0.5    4.0   0.1    28    48   635   656   629   660 0.82 -
153	AAA_15                    PF13175.7    373 WP_040435342.1|WP_040435342.1 -            947    0.0041   12.7   0.3   1   4      0.24        23    0.4   0.0    14    40    21    48    19   115 0.88 AAA ATPase domain
154	AAA_15                    PF13175.7    373 WP_040435342.1|WP_040435342.1 -            947    0.0041   12.7   0.3   2   4       2.3   2.2e+02   -2.8   0.0   331   365   518   551   516   556 0.81 AAA ATPase domain
155	AAA_15                    PF13175.7    373 WP_040435342.1|WP_040435342.1 -            947    0.0041   12.7   0.3   3   4    0.0069      0.66    5.5   0.0    10    43   628   659   620   704 0.79 AAA ATPase domain
156	AAA_15                    PF13175.7    373 WP_040435342.1|WP_040435342.1 -            947    0.0041   12.7   0.3   4   4     0.071       6.8    2.1   0.0   323   369   851   896   826   900 0.80 AAA ATPase domain
157	PtuA_2                    -            527 WP_040435342.1|WP_040435342.1 -            947    0.0074   10.8   0.0   1   2       1.3   1.2e+02   -3.1   0.0   208   237   643   672   636   698 0.76 -
158	PtuA_2                    -            527 WP_040435342.1|WP_040435342.1 -            947    0.0074   10.8   0.0   2   2   0.00026     0.025    9.1   0.0   363   424   832   893   799   894 0.93 -
159	Type_IV_21                -            567 WP_040435342.1|WP_040435342.1 -            947     0.014   10.3   0.0   1   2    0.0014      0.14    7.0   0.0   234   253    34    53    18   174 0.89 -
160	Type_IV_21                -            567 WP_040435342.1|WP_040435342.1 -            947     0.014   10.3   0.0   2   2      0.11        10    0.8   0.0   237   251   645   659   642   674 0.89 -
161	Type_II_REase35           -            552 WP_040435342.1|WP_040435342.1 -            947     0.026    9.3   1.1   1   3    0.0011      0.11    7.3   0.0    31    85     8    66     1    99 0.79 -
162	Type_II_REase35           -            552 WP_040435342.1|WP_040435342.1 -            947     0.026    9.3   1.1   2   3      0.45        43   -1.3   0.1   481   513   183   211   170   216 0.81 -
163	Type_II_REase35           -            552 WP_040435342.1|WP_040435342.1 -            947     0.026    9.3   1.1   3   3      0.58        55   -1.7   0.0    36    77   621   662   618   677 0.75 -
164	HEPN                 PF05168.15   117 WP_045215647.1|WP_045215647.1 -            128   2.3e-22   75.3   0.0   1   1   2.6e-25   2.7e-22   75.2   0.0     2   114     6   122     5   126 0.95 HEPN domain
165	Effector_4TM_S_4TM   PF18159.2    291 WP_048605152.1|WP_048605152.1 -            125      0.26    6.6  11.6   1   2     0.019        20    0.4   3.7    40    72    16    48     3    62 0.46 SMODS-associating 4TM effector domain
166	Effector_4TM_S_4TM   PF18159.2    291 WP_048605152.1|WP_048605152.1 -            125      0.26    6.6  11.6   2   2   8.4e-06    0.0088   11.4   1.0   177   218    83   124    67   125 0.78 SMODS-associating 4TM effector domain
167	JetC_I                    -           1113 WP_056957365.1|WP_056957365.1 -            245   5.6e-05   17.1   0.3   1   1   7.5e-07   0.00011   16.1   0.3    25    61    24    61    20    71 0.85 -
168	PtuA_2                    -            527 WP_056957365.1|WP_056957365.1 -            245   0.00039   15.0   3.7   1   2   0.00064     0.096    7.1   0.2   206   226    33    53    20    80 0.87 -
169	PtuA_2                    -            527 WP_056957365.1|WP_056957365.1 -            245   0.00039   15.0   3.7   2   2   0.00019     0.028    8.9   0.4   327   427   106   200    88   204 0.79 -
170	PtuA                      -            435 WP_056957365.1|WP_056957365.1 -            245   0.00047   16.0   0.2   1   1   4.2e-06   0.00063   15.6   0.2    17    48    23    55    16   189 0.75 -
171	AAA_21                    PF13304.7    304 WP_056957365.1|WP_056957365.1 -            245    0.0013   14.5   2.1   1   2    0.0026      0.39    6.4   0.7     1    22    33    54    33    92 0.82 AAA domain, putative AbiEii toxin, Type IV TA system
172	AAA_21                    PF13304.7    304 WP_056957365.1|WP_056957365.1 -            245    0.0013   14.5   2.1   2   2    0.0011      0.16    7.7   0.0   234   301   138   203    79   205 0.81 AAA domain, putative AbiEii toxin, Type IV TA system
173	Type_IV_21                -            567 WP_056957365.1|WP_056957365.1 -            245    0.0052   11.7   0.2   1   1   3.9e-05    0.0059   11.5   0.2   227   258    27    58    16   233 0.84 -
174	Menshen_NsnB              -            345 WP_056957365.1|WP_056957365.1 -            245    0.0092   11.5   1.6   1   2    0.0019      0.28    6.7   0.1    18    46    28    56    22    85 0.78 -
175	Menshen_NsnB              -            345 WP_056957365.1|WP_056957365.1 -            245    0.0092   11.5   1.6   2   2     0.014         2    3.8   0.2   198   276   122   200    95   205 0.76 -
176	LmuB_SMC_Cap4_nuclease_II -            611 WP_056957365.1|WP_056957365.1 -            245      0.13    7.2   5.0   1   2   0.00067       0.1    7.5   0.3    18    44    25    51    10    54 0.83 -
177	LmuB_SMC_Cap4_nuclease_II -            611 WP_056957365.1|WP_056957365.1 -            245      0.13    7.2   5.0   2   2     0.075        11    0.8   0.1   540   591   160   210   151   234 0.74 -
178	JetD_I               -            393 WP_061089969.1|WP_061089969.1 -            190    0.0029   12.8   0.0   1   1   3.3e-06    0.0034   12.5   0.0    73   149    49   128    37   157 0.77 -
179	csx21_III-D_2        -            104 WP_061594493.1|WP_061594493.1 -            173    0.0029   13.9   0.3   1   2    0.0035       3.7    3.9   0.0    51    96     4    49     1    53 0.80 -
180	csx21_III-D_2        -            104 WP_061594493.1|WP_061594493.1 -            173    0.0029   13.9   0.3   2   2   0.00016      0.17    8.2   0.0     9    53    85   135    77   144 0.69 -
181	RosmerTA_RmrT_2662548665 -            221 WP_071696523.1|WP_071696523.1 -            222   3.7e-79  261.4   0.0   1   1   1.2e-81   4.2e-79  261.3   0.0     2   216     5   222     4   222 0.99 -
182	RosmerTA_RmrT_2634882613 -            212 WP_071696523.1|WP_071696523.1 -            222   8.5e-17   57.3   0.0   1   1   3.1e-19   1.1e-16   57.0   0.0     9   208    14   216     8   220 0.86 -
183	RosmerTA_RmrT_2753529055 -            238 WP_071696523.1|WP_071696523.1 -            222   6.9e-05   18.3   0.0   1   2   1.6e-06   0.00056   15.3   0.0     3    75     8    81     6    94 0.87 -
184	RosmerTA_RmrT_2753529055 -            238 WP_071696523.1|WP_071696523.1 -            222   6.9e-05   18.3   0.0   2   2      0.04        14    0.9   0.0   147   197   153   203   117   220 0.70 -
185	PtuA                      -            435 WP_071696524.1|WP_071696524.1 -            717   2.6e-60  201.3   0.2   1   1   6.2e-62   3.8e-60  200.8   0.2     3   404   309   673   239   705 0.81 -
186	ATPase_TypeIA             -            534 WP_071696524.1|WP_071696524.1 -            717   9.8e-37  123.1   0.4   1   2   3.2e-09     2e-07   26.4   0.1    46   111   296   368   268   414 0.80 -
187	ATPase_TypeIA             -            534 WP_071696524.1|WP_071696524.1 -            717   9.8e-37  123.1   0.4   2   2   5.5e-30   3.4e-28   94.9   0.0   310   445   476   606   465   677 0.81 -
188	PtuB                      -            214 WP_071696524.1|WP_071696524.1 -            717   1.7e-30  102.9   0.1   1   2   9.6e-32   5.9e-30  101.1   0.0     1   160     1   206     1   253 0.85 -
189	PtuB                      -            214 WP_071696524.1|WP_071696524.1 -            717   1.7e-30  102.9   0.1   2   2       4.3   2.7e+02   -2.4   0.0    54    67   378   392   376   398 0.84 -
190	AAA_21                    PF13304.7    304 WP_071696524.1|WP_071696524.1 -            717   8.4e-23   77.5   0.6   1   3      0.48        30    0.2   0.2   104   153   270   319   251   330 0.83 AAA domain, putative AbiEii toxin, Type IV TA system
191	AAA_21                    PF13304.7    304 WP_071696524.1|WP_071696524.1 -            717   8.4e-23   77.5   0.6   2   3   7.7e-05    0.0047   12.7   0.0     2    54   340   392   339   420 0.69 AAA domain, putative AbiEii toxin, Type IV TA system
192	AAA_21                    PF13304.7    304 WP_071696524.1|WP_071696524.1 -            717   8.4e-23   77.5   0.6   3   3     2e-19   1.2e-17   60.6   0.0   207   303   481   586   444   587 0.88 AAA domain, putative AbiEii toxin, Type IV TA system
193	AAA_15                    PF13175.7    373 WP_071696524.1|WP_071696524.1 -            717   3.8e-22   75.4   0.0   1   3       4.7   2.9e+02   -3.3   0.0   264   288   242   275   209   291 0.73 AAA ATPase domain
194	AAA_15                    PF13175.7    373 WP_071696524.1|WP_071696524.1 -            717   3.8e-22   75.4   0.0   2   3   4.1e-10   2.5e-08   29.9   0.0     3    86   310   413   309   456 0.83 AAA ATPase domain
195	AAA_15                    PF13175.7    373 WP_071696524.1|WP_071696524.1 -            717   3.8e-22   75.4   0.0   3   3   4.7e-14   2.9e-12   42.8   0.0   288   372   491   585   465   586 0.81 AAA ATPase domain
196	ATPase_TOPRIM_COG3593     -            592 WP_071696524.1|WP_071696524.1 -            717   1.2e-21   73.5   0.2   1   2   7.3e-11   4.5e-09   32.0   0.1     3    86   309   402   308   423 0.77 -
197	ATPase_TOPRIM_COG3593     -            592 WP_071696524.1|WP_071696524.1 -            717   1.2e-21   73.5   0.2   2   2   4.6e-13   2.8e-11   39.2   0.0   253   332   498   588   465   623 0.75 -
198	GajA                      -            611 WP_071696524.1|WP_071696524.1 -            717   3.5e-19   65.0   0.0   1   2   3.6e-09   2.2e-07   25.9   0.1     2    85   309   403   309   414 0.76 -
199	GajA                      -            611 WP_071696524.1|WP_071696524.1 -            717   3.5e-19   65.0   0.0   2   2     2e-12   1.2e-10   36.7   0.0   252   363   500   607   467   620 0.83 -
200	PtuA_2                    -            527 WP_071696524.1|WP_071696524.1 -            717   2.9e-17   58.3   0.0   1   1   1.4e-18   8.4e-17   56.8   0.0   205   452   338   606   320   635 0.78 -
201	Menshen_NsnB              -            345 WP_071696524.1|WP_071696524.1 -            717   1.2e-16   57.2   0.1   1   1     9e-17   5.6e-15   51.7   0.1    15   281   331   586   309   603 0.67 -
202	HNH_TIGR02646             -            234 WP_071696524.1|WP_071696524.1 -            717   2.4e-15   52.8   0.0   1   1   8.6e-17   5.3e-15   51.7   0.0    42   178    47   204     1   225 0.74 -
203	AAA_15_DUF4435            -            694 WP_071696524.1|WP_071696524.1 -            717   5.3e-10   34.3   0.1   1   2   9.8e-06    0.0006   14.3   0.0     2    54   309   368   308   382 0.86 -
204	AAA_15_DUF4435            -            694 WP_071696524.1|WP_071696524.1 -            717   5.3e-10   34.3   0.1   2   2   8.2e-07     5e-05   17.9   0.0   295   394   500   603   494   631 0.79 -
205	AAA_21_DUF4435            -            570 WP_071696524.1|WP_071696524.1 -            717   1.7e-06   22.7   0.1   1   1   4.6e-08   2.8e-06   22.0   0.1   191   278   487   582   475   584 0.82 -
206	PtuB_2                    -            275 WP_071696524.1|WP_071696524.1 -            717   2.7e-06   23.2   0.0   1   1     1e-07   6.2e-06   22.1   0.0    94   157    47   130     5   170 0.82 -
207	DndD                      -            751 WP_071696524.1|WP_071696524.1 -            717   1.8e-05   19.3   0.1   1   1   4.6e-07   2.8e-05   18.6   0.1    68   178   309   416   250   427 0.75 -
208	LmuB_SMC_Cap4_nuclease_II -            611 WP_071696524.1|WP_071696524.1 -            717    0.0068   11.4   0.0   1   2   0.00044     0.027    9.4   0.0    18    67   333   387   308   453 0.67 -
209	LmuB_SMC_Cap4_nuclease_II -            611 WP_071696524.1|WP_071696524.1 -            717    0.0068   11.4   0.0   2   2       1.7     1e+02   -2.4   0.0   564   586   567   590   561   610 0.62 -
210	LmuB                      -            565 WP_071696524.1|WP_071696524.1 -            717    0.0069   10.7   0.0   1   1   0.00018     0.011   10.0   0.0    30    50   341   361   317   380 0.79 -
211	LmuB_SMC_Cap4_nuclease    -            565 WP_071696524.1|WP_071696524.1 -            717    0.0069   10.7   0.0   1   1   0.00018     0.011   10.0   0.0    30    50   341   361   317   380 0.79 -
212	AbiEi_4                 PF13338.8     49 WP_071739305.1|WP_071739305.1 -             73   0.00013   18.1   0.0   1   1   3.4e-07   0.00018   17.6   0.0     5    41     9    47     8    48 0.89 Transcriptional regulator, AbiEi antitoxin
213	Menshen_NsnC_2661990395 -            141 WP_071739305.1|WP_071739305.1 -             73   0.00013   17.8   0.1   1   2   1.2e-06   0.00061   15.7   0.0    33    77     8    51     3    61 0.88 -
214	Menshen_NsnC_2661990395 -            141 WP_071739305.1|WP_071739305.1 -             73   0.00013   17.8   0.1   2   2     0.039        20    1.0   0.0    37    51    55    69    50    71 0.82 -
215	ATPase_TOPRIM_COG3593 -            592 WP_088325229.1|WP_088325229.1 -            591   2.2e-61  204.7  18.6   1   1     2e-63   2.6e-61  204.5  18.6     2   518     1   551     1   586 0.69 -
216	GajA                  -            611 WP_088325229.1|WP_088325229.1 -            591     5e-58  193.2  10.1   1   1   4.5e-60   5.9e-58  193.0  10.1     1   543     1   546     1   585 0.81 -
217	AAA_15                PF13175.7    373 WP_088325229.1|WP_088325229.1 -            591   2.9e-23   79.0  44.1   1   2   3.4e-25   4.4e-23   78.4  23.9     1   373     1   328     1   328 0.55 AAA ATPase domain
218	AAA_15                PF13175.7    373 WP_088325229.1|WP_088325229.1 -            591   2.9e-23   79.0  44.1   2   2      0.32        43   -0.5  12.2    57   177   436   568   415   586 0.60 AAA ATPase domain
219	PtuA                  -            435 WP_088325229.1|WP_088325229.1 -            591   8.5e-18   61.3   1.1   1   1   1.4e-19   1.8e-17   60.2   1.1     2   334     1   345     1   376 0.64 -
220	AAA_21                PF13304.7    304 WP_088325229.1|WP_088325229.1 -            591   3.3e-17   59.2   4.9   1   1   1.6e-18     2e-16   56.6   4.9     2   303    25   328    24   328 0.81 AAA domain, putative AbiEii toxin, Type IV TA system
221	Old                   -            586 WP_088325229.1|WP_088325229.1 -            591   9.7e-10   33.3   5.6   1   3   5.3e-06    0.0007   14.0   0.0     4    52     2    50     1    96 0.85 -
222	Old                   -            586 WP_088325229.1|WP_088325229.1 -            591   9.7e-10   33.3   5.6   2   3      0.31        41   -1.8   0.1   232   291   158   216   145   230 0.71 -
223	Old                   -            586 WP_088325229.1|WP_088325229.1 -            591   9.7e-10   33.3   5.6   3   3   3.3e-08   4.3e-06   21.2   0.4   264   413   261   397   246   525 0.84 -
224	Menshen_NsnB          -            345 WP_088325229.1|WP_088325229.1 -            591   3.9e-09   32.5   7.7   1   2     3e-11   3.9e-09   32.5   7.7     2   299     3   346     2   368 0.65 -
225	Menshen_NsnB          -            345 WP_088325229.1|WP_088325229.1 -            591   3.9e-09   32.5   7.7   2   2       1.3   1.8e+02   -2.6   0.1    93    97   483   487   422   556 0.49 -
226	ATPase_TypeIA         -            534 WP_088325229.1|WP_088325229.1 -            591   1.2e-07   27.0  18.6   1   3   1.3e-05    0.0017   13.4  11.3    58   144     1    78     1   250 0.58 -
227	ATPase_TypeIA         -            534 WP_088325229.1|WP_088325229.1 -            591   1.2e-07   27.0  18.6   2   3   4.7e-06   0.00061   14.9   0.0   383   433   287   337   269   354 0.81 -
228	ATPase_TypeIA         -            534 WP_088325229.1|WP_088325229.1 -            591   1.2e-07   27.0  18.6   3   3      0.18        23   -0.3   0.5    36    67   490   521   428   569 0.80 -
229	HTH                      -             99 WP_090181238.1|WP_090181238.1 -             82   1.7e-07   27.2   0.1   1   1   7.2e-10   1.9e-07   27.0   0.1     5    61    16    72    12    80 0.92 -
230	RosmerTA_RmrA_2662548665 -            400 WP_090181238.1|WP_090181238.1 -             82   1.3e-06   23.4   0.0   1   1   5.5e-09   1.4e-06   23.3   0.0    13    69    17    73    13    81 0.91 -
231	RosmerTA_RmrA_2677172838 -            380 WP_090181238.1|WP_090181238.1 -             82   0.00032   15.5   0.0   1   1   1.3e-06   0.00035   15.4   0.0    15    70    17    72     9    81 0.91 -
232	RosmerTA_RmrA_2676476075 -            373 WP_090181238.1|WP_090181238.1 -             82   0.00039   15.5   0.0   1   1   1.6e-06   0.00042   15.4   0.0    10    59    17    66    11    78 0.90 -
233	pglZ3                -            648 WP_096349835.1|WP_096349835.1 -            517   2.7e-29   97.8   0.2   1   1   1.6e-31   4.2e-29   97.2   0.2   267   640   108   511    73   514 0.71 -
234	pglZ2                -            916 WP_096349835.1|WP_096349835.1 -            517   4.2e-09   31.4   0.0   1   2   7.4e-08   1.9e-05   19.2   0.0   524   684   260   451   243   457 0.72 -
235	pglZ2                -            916 WP_096349835.1|WP_096349835.1 -            517   4.2e-09   31.4   0.0   2   2   6.9e-05     0.018    9.4   0.1   716   733   499   516   498   517 0.94 -
236	pglZA                -            847 WP_096349835.1|WP_096349835.1 -            517   1.2e-05   20.0   1.0   1   3      0.66   1.7e+02   -3.7   0.1   308   351   110   153    82   164 0.56 -
237	pglZA                -            847 WP_096349835.1|WP_096349835.1 -            517   1.2e-05   20.0   1.0   2   3      0.09        24   -0.9   0.0   444   507   216   276   182   281 0.78 -
238	pglZA                -            847 WP_096349835.1|WP_096349835.1 -            517   1.2e-05   20.0   1.0   3   3   1.5e-07   3.9e-05   18.2   0.1   605   718   395   511   391   515 0.70 -
239	pglZB                -            776 WP_096349835.1|WP_096349835.1 -            517   0.00014   15.9   0.1   1   3    0.0034      0.88    3.4   0.0   443   490   230   277   152   305 0.77 -
240	pglZB                -            776 WP_096349835.1|WP_096349835.1 -            517   0.00014   15.9   0.1   2   3      0.13        35   -1.9   0.1   156   201   345   392   331   417 0.65 -
241	pglZB                -            776 WP_096349835.1|WP_096349835.1 -            517   0.00014   15.9   0.1   3   3   4.9e-05     0.013    9.5   0.0   646   674   480   510   473   514 0.76 -
242	PtuA                      -            435 WP_096349838.1|WP_096349838.1 -            138   0.00034   16.5   0.0   1   1   3.2e-06   0.00034   16.5   0.0    19    56    18    57     1   107 0.74 -
243	DndD                      -            751 WP_096349838.1|WP_096349838.1 -            138   0.00034   15.0   0.0   1   1   4.4e-06   0.00046   14.6   0.0    84   115    17    45    14    49 0.85 -
244	TRIP13                    -            304 WP_096349838.1|WP_096349838.1 -            138   0.00056   15.1   0.0   1   1   6.6e-06   0.00069   14.8   0.0    60    99    16    54     4    69 0.76 -
245	Dodola_DolB               -            375 WP_096349838.1|WP_096349838.1 -            138   0.00058   15.0   0.0   1   1   6.9e-06   0.00072   14.7   0.0   165   204    24    65     8    76 0.84 -
246	LmuB_SMC_Cap4_nuclease_II -            611 WP_096349838.1|WP_096349838.1 -            138   0.00099   14.2   0.0   1   1   9.7e-06     0.001   14.1   0.0    18    52    18    53    11   105 0.83 -
247	LmuB                      -            565 WP_096349838.1|WP_096349838.1 -            138    0.0023   12.3   0.0   1   1   2.6e-05    0.0028   12.0   0.0    19    54    16    53     2    63 0.78 -
248	LmuB_SMC_Cap4_nuclease    -            565 WP_096349838.1|WP_096349838.1 -            138    0.0023   12.3   0.0   1   1   2.6e-05    0.0028   12.0   0.0    19    54    16    53     2    63 0.78 -
249	Dynamins_LeoBC            -            601 WP_096349838.1|WP_096349838.1 -            138    0.0025   12.7   0.0   1   1   2.4e-05    0.0025   12.7   0.0    82    98    30    64    27   133 0.69 -
250	Type_IV_22                -            559 WP_096349838.1|WP_096349838.1 -            138    0.0047   12.0   0.0   1   1   4.6e-05    0.0049   11.9   0.0   255   289    18    56    12   103 0.82 -
251	ATPase_TypeIA             -            534 WP_096349838.1|WP_096349838.1 -            138    0.0052   11.8   0.0   1   1   6.7e-05     0.007   11.4   0.0    75   104    20    49    13    57 0.87 -
252	cmr5gr11_III-B_5     -            132 WP_104372762.1|WP_104372762.1 -            299    0.0041   13.4   0.0   1   1   6.1e-06    0.0064   12.8   0.0    71   125    41    95    31   102 0.85 -
253	Sp_dGTPase           -            446 WP_104372807.1|WP_104372807.1 -            425   1.2e-05   20.3   0.1   1   1   1.8e-08   1.9e-05   19.6   0.1    58   121    52   115    22   126 0.70 -
254	CSD                  -            206 WP_105959118.1|WP_105959118.1 -             66   9.1e-34  113.2   4.8   1   1   9.2e-37   9.7e-34  113.1   4.8    87   155     1    65     1    66 0.96 -
255	Type_I_REases_FAM_0.einsi_trimmed -           1006 WP_105959121.1|WP_105959121.1 -           1053  1.9e-179  595.0  28.6   1   1  7.1e-182  2.5e-179  594.7  28.6     3   910     7  1007     1  1046 0.81 -
256	Type_I_REases_FAM_2.einsi_trimmed -            876 WP_105959121.1|WP_105959121.1 -           1053   1.1e-27   92.6  13.6   1   2   2.9e-28     1e-25   86.1   9.0    49   471   129   605   102   647 0.68 -
257	Type_I_REases_FAM_2.einsi_trimmed -            876 WP_105959121.1|WP_105959121.1 -           1053   1.1e-27   92.6  13.6   2   2   8.2e-05     0.029    8.6   0.1   491   552   687   746   641   803 0.77 -
258	Type_I_REases_FAM_1.einsi_trimmed -            997 WP_105959121.1|WP_105959121.1 -           1053   2.9e-18   61.1  14.6   1   3   2.1e-11   7.5e-09   30.0   6.7   122   437   128   444     2   468 0.77 -
259	Type_I_REases_FAM_1.einsi_trimmed -            997 WP_105959121.1|WP_105959121.1 -           1053   2.9e-18   61.1  14.6   2   3      0.02         7    0.3   0.0   471   516   442   492   440   502 0.76 -
260	Type_I_REases_FAM_1.einsi_trimmed -            997 WP_105959121.1|WP_105959121.1 -           1053   2.9e-18   61.1  14.6   3   3   9.4e-13   3.3e-10   34.5   0.1   635   711   670   752   639   780 0.76 -
261	Type_I_S_51          -            500 WP_105959122.1|WP_105959122.1 -            407   1.4e-58  194.4   1.8   1   1     1e-60   1.5e-58  194.3   1.8    15   418     6   406     1   407 0.92 -
262	Type_I_S_04          -            476 WP_105959122.1|WP_105959122.1 -            407   8.7e-42  139.8   0.0   1   1   8.5e-44   1.3e-41  139.2   0.0    40   388    16   406     2   407 0.80 -
263	Type_I_S_52          -            584 WP_105959122.1|WP_105959122.1 -            407   1.1e-41  139.2   0.1   1   2   2.4e-27   3.5e-25   84.7   0.1    48   278    17   251     3   255 0.81 -
264	Type_I_S_52          -            584 WP_105959122.1|WP_105959122.1 -            407   1.1e-41  139.2   0.1   2   2   1.2e-18   1.9e-16   55.9   0.0    48   228   226   406   209   407 0.79 -
265	Type_I_S_02          -            438 WP_105959122.1|WP_105959122.1 -            407   8.1e-33  110.0  10.9   1   2   1.1e-18   1.7e-16   56.3   1.9    12   194    14   210     2   223 0.69 -
266	Type_I_S_02          -            438 WP_105959122.1|WP_105959122.1 -            407   8.1e-33  110.0  10.9   2   2   1.5e-19   2.2e-17   59.2   1.5    13   192   226   406   211   407 0.86 -
267	Type_I_S_06          -            459 WP_105959122.1|WP_105959122.1 -            407   2.9e-31  104.9  10.0   1   2   3.4e-22     5e-20   67.8   2.7    67   248    13   236     2   240 0.78 -
268	Type_I_S_06          -            459 WP_105959122.1|WP_105959122.1 -            407   2.9e-31  104.9  10.0   2   2   6.8e-15     1e-12   43.7   1.1    67   230   222   407   210   407 0.76 -
269	Type_I_S_03          -            476 WP_105959122.1|WP_105959122.1 -            407   2.2e-30  102.2   0.6   1   2   1.3e-20   1.9e-18   62.9   0.1     7   205    16   214     3   242 0.87 -
270	Type_I_S_03          -            476 WP_105959122.1|WP_105959122.1 -            407   2.2e-30  102.2   0.6   2   2   3.6e-13   5.3e-11   38.3   0.0    40   199   246   406   225   407 0.89 -
271	Type_I_S_01          -            716 WP_105959122.1|WP_105959122.1 -            407   8.9e-27   89.6   5.5   1   2   1.2e-21   1.8e-19   65.4   1.1    18   209    15   208     4   215 0.84 -
272	Type_I_S_01          -            716 WP_105959122.1|WP_105959122.1 -            407   8.9e-27   89.6   5.5   2   2   7.7e-10   1.2e-07   26.4   0.2    48   199   246   396   225   406 0.73 -
273	tm_4_VI-B_1          -            225 WP_109614080.1|WP_109614080.1 -            151    0.0016   14.5   0.3   1   1   2.2e-06    0.0023   14.0   0.3    15    94    68   147    63   150 0.82 -
274	RosmerTA_RmrT_2600853143 -            247 WP_125329803.1|WP_125329803.1 -            237   7.4e-48  158.8   6.2   1   1   7.8e-51   8.1e-48  158.7   6.2     7   246     4   236     1   237 0.94 -
275	FAM_0                -            470 WP_125329805.1|WP_125329805.1 -            803     0.013   10.3   0.0   1   1   2.2e-05     0.023    9.4   0.0   338   391    12    63     6    76 0.76 -
276	AAA_21                PF13304.7    304 WP_125330115.1|WP_125330115.1 -            330   1.7e-11   40.4   3.0   1   2     2e-05    0.0031   13.3   0.3     3    24    54    75    52   127 0.74 AAA domain, putative AbiEii toxin, Type IV TA system
277	AAA_21                PF13304.7    304 WP_125330115.1|WP_125330115.1 -            330   1.7e-11   40.4   3.0   2   2   9.9e-10   1.5e-07   27.5   0.2   234   301   153   218   127   221 0.80 AAA domain, putative AbiEii toxin, Type IV TA system
278	ATPase_TOPRIM_COG3593 -            592 WP_125330115.1|WP_125330115.1 -            330   1.2e-06   24.0   1.2   1   2   2.1e-06   0.00032   15.9   0.0    14    51    39    77    35   101 0.81 -
279	ATPase_TOPRIM_COG3593 -            592 WP_125330115.1|WP_125330115.1 -            330   1.2e-06   24.0   1.2   2   2    0.0014      0.21    6.6   0.3   286   325   174   215   114   218 0.80 -
280	PtuA                  -            435 WP_125330115.1|WP_125330115.1 -            330   0.00017   17.4   2.0   1   2   1.8e-05    0.0027   13.5   0.1    11    51    36    77    33   118 0.83 -
